iter	Logloss
0	0.6821215655
1	0.6700707991
2	0.6600682507
3	0.6504355301
4	0.6423977046
5	0.6333924044
6	0.624711332
7	0.6180100805
8	0.6121774339
9	0.6041793641
10	0.5965778726
11	0.5905453504
12	0.5845162543
13	0.5796882475
14	0.5735535276
15	0.5689752155
16	0.565298472
17	0.5603139892
18	0.5550097974
19	0.5505845577
20	0.5455907265
21	0.5414617547
22	0.5370936285
23	0.5338358579
24	0.5301207078
25	0.5267698099
26	0.5238650713
27	0.5208779602
28	0.51882233
29	0.5154960703
30	0.5132719993
31	0.5106156629
32	0.508449115
33	0.5060609308
34	0.5038907085
35	0.5010248763
36	0.4995465195
37	0.497664212
38	0.4954489513
39	0.4942545984
40	0.4927939253
41	0.4901918811
42	0.4884630395
43	0.4868845088
44	0.4850470892
45	0.4831157774
46	0.4816243442
47	0.4802182638
48	0.4786691049
49	0.4771824037
50	0.4762948933
51	0.4746495004
52	0.4733339843
53	0.4724936242
54	0.471201502
55	0.4702151119
56	0.4687987551
57	0.467826307
58	0.4667800021
59	0.4660755592
60	0.4651533434
61	0.4643548391
62	0.4633459868
63	0.4625752936
64	0.4616877864
65	0.4609882754
66	0.4601123592
67	0.459174298
68	0.4587623477
69	0.4578745965
70	0.4568029199
71	0.4561515098
72	0.455548493
73	0.4545777699
74	0.4540463385
75	0.4531569174
76	0.4522120308
77	0.45164503
78	0.4509005217
79	0.4503231449
80	0.449799345
81	0.4491866864
82	0.4486562777
83	0.4480529026
84	0.4475922073
85	0.4470717153
86	0.4465179056
87	0.4460582873
88	0.4457005357
89	0.4451494002
90	0.4445917143
91	0.4439931005
92	0.4435746288
93	0.4429792888
94	0.442419575
95	0.441857623
96	0.4413620484
97	0.4409997457
98	0.4405716113
99	0.4402799421
100	0.4398594023
101	0.4395572798
102	0.4392519465
103	0.4389552597
104	0.438582182
105	0.4382136936
106	0.437940268
107	0.437652136
108	0.4371939812
109	0.4368611203
110	0.4365506546
111	0.4362256416
112	0.4358325234
113	0.4356099758
114	0.4352621236
115	0.4348999683
116	0.4346377741
117	0.4343215822
118	0.4340431306
119	0.4338542658
120	0.4336807301
121	0.4333787176
122	0.4331448547
123	0.4328456783
124	0.4326045082
125	0.4323449432
126	0.4321589618
127	0.4318922738
128	0.4316181619
129	0.4314415958
130	0.4312555577
131	0.4311125079
132	0.4308312661
133	0.4306436507
134	0.4303485044
135	0.430155194
136	0.4298876537
137	0.4296578257
138	0.4294446804
139	0.4292457896
140	0.4291336181
141	0.4289551353
142	0.4287444037
143	0.4283513421
144	0.4281625526
145	0.4280218957
146	0.4277562044
147	0.4275377966
148	0.4273813612
149	0.427273198
150	0.4270971073
151	0.4268288593
152	0.426704508
153	0.4265034558
154	0.4263335273
155	0.4261626121
156	0.4259063023
157	0.4257814904
158	0.4255583602
159	0.4253512564
160	0.4251376355
161	0.4249134203
162	0.4248353393
163	0.4246927188
164	0.4244895904
165	0.4243402368
166	0.4242230244
167	0.4240979416
168	0.4239205332
169	0.4237917807
170	0.4236703019
171	0.4234709037
172	0.4233179014
173	0.4231378149
174	0.4229989302
175	0.4228581647
176	0.422713805
177	0.422572774
178	0.4224097125
179	0.4223141779
180	0.4221572327
181	0.4219905877
182	0.4217456572
183	0.4216238907
184	0.4213853834
185	0.4213030873
186	0.4211238149
187	0.4209465895
188	0.4205856912
189	0.4204737298
190	0.4203519189
191	0.4201899963
192	0.4201427506
193	0.4200899568
194	0.4199225047
195	0.4198130487
196	0.4197145764
197	0.4195137159
198	0.419359535
199	0.4191428602
200	0.418956919
201	0.4188564942
202	0.4187230449
203	0.4186192584
204	0.4184507564
205	0.4183535249
206	0.4182425443
207	0.4181360157
208	0.4180140776
209	0.417821122
210	0.4177081749
211	0.4175837573
212	0.4175056101
213	0.4173968524
214	0.4172487172
215	0.4171597082
216	0.4170297338
217	0.4169428817
218	0.416814355
219	0.416715194
220	0.4166548155
221	0.4165262675
222	0.4163486064
223	0.4162265204
224	0.4160312805
225	0.4159633817
226	0.4158929989
227	0.4157605792
228	0.4156491934
229	0.4155559842
230	0.4154622528
231	0.4153564711
232	0.4152309996
233	0.415084669
234	0.4149993396
235	0.4148519669
236	0.4147264821
237	0.4146284935
238	0.4145330214
239	0.4143764029
240	0.414310311
241	0.4141026508
242	0.4139996928
243	0.4139024708
244	0.4138063308
245	0.4136724356
246	0.4135643057
247	0.4134582103
248	0.4134000389
249	0.4132750219
250	0.4131713882
251	0.4130531075
252	0.4129727803
253	0.4128556804
254	0.4127717484
255	0.4127180575
256	0.4125653168
257	0.4123669172
258	0.4122533956
259	0.4121600937
260	0.4120200488
261	0.411912179
262	0.4117935994
263	0.4117534349
264	0.4116489739
265	0.4115961776
266	0.4114341152
267	0.411336859
268	0.411245973
269	0.4110913608
270	0.411003549
